,CIDint,z,zHDERR,Local Mass,Local Mass error,Local U-R,Local U-R error,Host Mass,Host Mass error,Host U-R,Host U-R error
150,1276034,0.4923,0.0001,8.185199,0.078521594,0.9193039,0.1394156,10.7420435,0.013986125,0.94218445,0.018383533
151,1276513,0.1628,0.0001,10.801716,0.033212084,1.7694588,0.063667096,10.942706,0.023976138,1.5916405,0.026345905
152,1276546,0.3533,0.0001,8.303625,0.054969024,0.45917892,0.08698814,8.757164,0.06653786,0.36693573,0.0720654
153,1277715,0.346,0.0001,8.417621,0.033576887,0.40052795,0.03776987,9.08669,0.009329109,0.071186066,0.014877839
154,1278602,0.348,0.0001,9.463579,0.10018144,1.7149506,0.07806858,10.302549,0.011000034,1.346775,0.014913548
155,1279420,0.2569,0.0001,10.630111,0.03731845,1.9092827,0.048753876,10.956515,0.053668305,1.7580795,0.018796213
156,1279488,0.4941,0.0001,8.546437,0.06638812,0.77612686,0.07875832,9.2241335,0.034748476,0.45176697,0.036552694
157,1279500,0.2347,0.0001,8.908637,0.05337984,1.0751648,0.08510949,9.67704,0.008358037,0.9208412,0.01635275
158,1279501,0.5653,0.0001,9.666236,0.12012692,1.3363304,0.09481923,10.258403,0.045444787,1.3420944,0.033774827
159,1281008,0.4139,0.0001,8.757588,0.055778846,0.7251129,0.067788385,9.5286455,0.047106322,-0.6443939,0.021568097
160,1281638,0.4552,0.0001,10.307626,0.08172714,1.8306885,0.061411157,10.650625,0.022652877,1.6825714,0.015743023
161,1281668,0.307,0.0001,9.054048,0.04023181,0.7960167,0.041688785,9.938347,0.012336709,0.8357849,0.0143123865
162,1281879,0.5055,0.0001,9.802976,0.05641191,1.1265335,0.07836316,10.613553,0.0151876155,1.0609016,0.018514222
163,1281886,0.3839,0.0001,9.154722,0.04286711,0.8909569,0.056898437,9.385982,0.017093303,0.9745903,0.03734292
164,1282018,0.4238,0.0001,10.20464,0.047831204,1.5717926,0.07471593,10.736705,0.0334229,1.4945526,0.015007594
165,1282112,0.4515,0.0001,8.654343,0.059018817,0.45035553,0.09540154,9.146277,0.044837758,0.31349945,0.0609215
166,1282114,0.2178,0.0001,9.832752,0.038731188,0.99702835,0.0631141,10.179205,0.009705819,0.89357376,0.01731607
167,1283272,0.3835,0.0001,10.390244,0.09408882,1.8437347,0.046004992,10.5628805,0.04232338,1.5203476,0.014733119
168,1283373,0.2075,0.0001,9.960508,0.10237806,1.691082,0.06303122,10.248464,0.06038187,1.700634,0.018402139
169,1283855,0.5654,0.0001,9.9880495,0.100881435,1.5710335,0.10647321,10.952765,0.03806697,1.4826012,0.024012417
170,1283878,0.3135,0.0001,10.476944,0.081176184,1.8558006,0.06115194,11.197675,0.015490542,1.6935387,0.014127498
171,1283936,0.3686,0.0001,9.155817,0.045826197,0.769577,0.042606577,9.578911,0.029672114,0.7502098,0.018657947
172,1284066,0.3798,0.0001,9.403757,0.0361984,0.09332657,0.036115527,9.763832,0.024463315,0.078746796,0.012233467
173,1285317,0.5644,0.0001,8.068009,0.04666383,-0.43169022,0.09848448,8.5256405,0.062317107,-0.08314896,0.12400699
174,1286398,0.1501,0.0001,10.031838,0.12279458,1.7953758,0.11756647,10.378858,0.023873774,1.2973251,0.032635644
175,1289288,0.29,0.0001,10.186792,0.030824834,1.2632103,0.038759213,10.607741,0.010494059,1.2932167,0.015169403
176,1289306,0.5427,0.0001,10.380598,0.085565396,1.6991959,0.11565302,10.865388,0.013169056,1.4247551,0.022107616
177,1289555,0.5617,0.0001,8.526147,0.042707827,0.077877045,0.078801535,9.002805,0.041056335,0.26216888,0.062340945
178,1289600,0.4193,0.0001,8.620814,0.04580564,0.23940659,0.032155488,9.4153385,0.01805063,0.36873627,0.015623978
179,1289714,0.5358,0.0001,9.161117,0.07756969,1.4307709,0.06504322,10.297883,0.040612742,1.5665855,0.03124801
180,1289794,0.4332,0.0001,10.054096,0.0983957,1.7414246,0.07888553,10.495299,0.034825817,1.5611763,0.021701265
181,1289913,0.385,0.0001,9.01169,0.12990856,1.4369049,0.16391404,9.881423,0.02734119,1.5240402,0.042786725
